Location Year  Month   Value
ASC 1979  8   337.44
ASC 1979  9   337.31
ASC 1979 10   337.32
ASC 1979 11   338.06
ASC 1979 12   338.69
ASC 1980  1   338.49
ASC 1980  2   338.16
ASC 1980  3   338.17
ASC 1980  4   338.62
ASC 1980  5   339.01
ASC 1980  6   339.65
ASC 1980  7   339.94
ASC 1980  8   339.92
ASC 1980  9   339.67
ASC 1980 10   339.26
ASC 1980 11   338.98
ASC 1980 12   339.01
ASC 1981  1   339.31
ASC 1981  2   339.11
ASC 1981  3   339.46
ASC 1981  4   339.80
ASC 1981  5   339.30
ASC 1981  6   339.38
ASC 1981  7   340.50
ASC 1981  8   341.15
ASC 1981  9   340.91
ASC 1981 10   340.73
ASC 1981 11   340.51
ASC 1981 12   340.06
ASC 1982  1   339.95
ASC 1982  2   339.96
ASC 1982  3   340.04
ASC 1982  4   340.74
ASC 1982  5   341.10
ASC 1982  6   340.85
ASC 1982  7   340.96
ASC 1982  8   341.45
ASC 1982  9   341.49
ASC 1982 10   341.43
ASC 1982 11   341.19
ASC 1982 12   340.93
ASC 1983  1   341.69
ASC 1983  2   342.10
ASC 1983  3   341.88
ASC 1983  4   342.04
ASC 1983  5   342.73
ASC 1983  6   343.69
ASC 1983  7   343.79
ASC 1983  8   343.52
ASC 1983  9   343.55
ASC 1983 10   343.68
ASC 1983 11   343.55
ASC 1983 12   343.62
ASC 1984  1   343.58
ASC 1984  2   342.84
ASC 1984  3   342.71
ASC 1984  4   343.04
ASC 1984  5   343.53
ASC 1984  6   344.25
ASC 1984  7   345.29
ASC 1984  8   345.51
ASC 1984  9   344.59
ASC 1984 10   344.74
ASC 1984 11   345.22
ASC 1984 12   344.42
ASC 1985  1   343.94
ASC 1985  2   344.03
ASC 1985  3   344.46
ASC 1985  4   344.31
ASC 1985  5   344.42
ASC 1985  6   345.62
ASC 1985  7   346.31
ASC 1985  8   346.02
ASC 1985  9   346.09
ASC 1985 10   346.57
ASC 1985 11   346.49
ASC 1985 12   346.31
ASC 1986  1   346.11
ASC 1986  2   345.36
ASC 1986  3   344.61
ASC 1986  4   345.10
ASC 1986  5   345.81
ASC 1986  6   346.50
ASC 1986  7   347.34
ASC 1986  8   347.65
ASC 1986  9   347.21
ASC 1986 10   347.02
ASC 1986 11   347.18
ASC 1986 12   346.97
ASC 1987  1   346.76
ASC 1987  2   346.87
ASC 1987  3   347.08
ASC 1987  4   347.32
ASC 1987  5   348.21
ASC 1987  6   349.33
ASC 1987  7   349.56
ASC 1987  8   349.83
ASC 1987  9   349.67
ASC 1987 10   349.47
ASC 1987 11   349.79
ASC 1987 12   349.73
ASC 1988  1   349.50
ASC 1988  2   349.61
ASC 1988  3   349.56
ASC 1988  4   349.35
ASC 1988  5   349.88
ASC 1988  6   351.14
ASC 1988  7   351.76
ASC 1988  8   351.53
ASC 1988  9   351.41
ASC 1988 10   351.37
ASC 1988 11   351.45
ASC 1988 12   351.56
ASC 1989  1   351.59
ASC 1989  2   351.41
ASC 1989  3   350.81
ASC 1989  4   350.85
ASC 1989  5   351.39
ASC 1989  6   351.80
ASC 1989  7   352.47
ASC 1989  8   352.77
ASC 1989  9   352.62
ASC 1989 10   352.40
ASC 1989 11   352.26
ASC 1989 12   352.18
ASC 1990  1   352.16
ASC 1990  2   351.91
ASC 1990  3   351.48
ASC 1990  4   352.15
ASC 1990  5   353.04
ASC 1990  6   353.31
ASC 1990  7   354.03
ASC 1990  8   354.60
ASC 1990  9   354.39
ASC 1990 10   354.25
ASC 1990 11   354.18
ASC 1990 12   353.72
ASC 1991  1   353.70
ASC 1991  2   353.80
ASC 1991  3   353.29
ASC 1991  4   352.84
ASC 1991  5   353.47
ASC 1991  6   354.22
ASC 1991  7   354.76
ASC 1991  8   355.00
ASC 1991  9   354.80
ASC 1991 10   355.05
ASC 1991 11   355.19
ASC 1991 12   354.79
ASC 1992  1   354.53
ASC 1992  2   354.42
ASC 1992  3   354.36
ASC 1992  4   354.85
ASC 1992  5   355.43
ASC 1992  6   355.84
ASC 1992  7   356.45
ASC 1992  8   356.46
ASC 1992  9   356.18
ASC 1992 10   356.17
ASC 1992 11   355.97
ASC 1992 12   355.50
ASC 1993  1   355.18
ASC 1993  2   355.00
ASC 1993  3   354.89
ASC 1993  4   355.00
ASC 1993  5   355.37
ASC 1993  6   356.38
ASC 1993  7   356.53
ASC 1993  8   356.60
ASC 1993  9   357.72
ASC 1993 10   357.82
ASC 1993 11   357.02
ASC 1993 12   356.60
ASC 1994  1   356.85
ASC 1994  2   356.25
ASC 1994  3   355.42
ASC 1994  4   356.01
ASC 1994  5   356.99
ASC 1994  6   357.70
ASC 1994  7   358.55
ASC 1994  8   358.89
ASC 1994  9   358.58
ASC 1994 10   358.59
ASC 1994 11   358.78
ASC 1994 12   358.90
ASC 1995  1   358.96
ASC 1995  2   358.60
ASC 1995  3   358.19
ASC 1995  4   358.09
ASC 1995  5   358.70
ASC 1995  6   359.56
ASC 1995  7   360.28
ASC 1995  8   360.55
ASC 1995  9   360.55
ASC 1995 10   360.57
ASC 1995 11   360.67
ASC 1995 12   360.83
ASC 1996  1   360.64
ASC 1996  2   360.09
ASC 1996  3   359.12
